Review Text,cleaned,Rating,sentiment
Really love this top even more than i expected based on the picture. i have already worn it 6 times in a short period of time. it's been a great fall top,really love this top even more than i expected based on the picture i have already worn it times in a short period of time its been a great fall top,5,positive
"This is such a cute little top that can be easily worn off the shoulder or on the shoulders. it is comfortable, soft and quite flattering. it hangs nicely and is a pretty white top that will come in handy this spring and summer. i stayed tts on this one but could have sized down.",this is such a cute little top that can be easily worn off the shoulder or on the shoulders it is comfortable soft and quite flattering it hangs nicely and is a pretty white top that will come in handy this spring and summer i stayed tts on this one but could have sized down,5,positive
"I have had a problem finding jeans that fit properly (that i don't have to pull up every single time i walk up the stairs or stand up) but these are perfect. they are made with a bit of a stretchy material, yet keep their shape well. i am 5'7, 130 pounds, athletic body type and got a size 25. the only thing i am worried about is the dark color bleeding onto a light colored couch/quilt/purse/etc. as this has happened to me before with dark wash jeans.",i have had a problem finding jeans that fit properly that i dont have to pull up every single time i walk up the stairs or stand up but these are perfect they are made with a bit of a stretchy material yet keep their shape well i am pounds athletic body type and got a size the only thing i am worried about is the dark color bleeding onto a light colored couchquiltpurseetc as this has happened to me before with dark wash jeans,5,positive
"I didn't know what to put for ""runs small, true to size, or runs large,"" but it required me to put something...i first ordered the xl, and it was ridiculously gianormous. the next time, i ordered a large. i thought the large would either be a perfect fit or still too large, based on how the xl had fit. the large was too tight! i could not believe it! it is too bad, for i love the design and color of this top! i ordered it in the muted red color. if you can find a size that works for you, go for",i didnt know what to put for runs small true to size or runs large but it required me to put somethingi first ordered the xl and it was ridiculously gianormous the next time i ordered a large i thought the large would either be a perfect fit or still too large based on how the xl had fit the large was too tight i could not believe it it is too bad for i love the design and color of this top i ordered it in the muted red color if you can find a size that works for you go for,3,neutral
"More of an a-line rather than tunic shape--which makes this a great, flattering, spring-through-summer party and barbecue throw on. true to size, washable. the indigo and purpley-gray pop with the mix of rose stripes, and the fringe and length keep it from being dowdy. i'm 5'5"" and this hit mid thigh. i keep pulling it out of the closet and trying it on! can't wait for the weather to turn in earnest to wear this sassiness out.",more of an aline rather than tunic shapewhich makes this a great flattering springthroughsummer party and barbecue throw on true to size washable the indigo and purpleygray pop with the mix of rose stripes and the fringe and length keep it from being dowdy im and this hit mid thigh i keep pulling it out of the closet and trying it on cant wait for the weather to turn in earnest to wear this sassiness out,5,positive
"This is a really nice quality dress. it is a low-cut v-neck but the fabric is form fitting so its not revealing when u move. i love the top part of the dress but the skirt just did nothing for me. it's a soft material but the skirt almost resembles a bath towel in look and feel. i am petite in size (5'0"" 100lbs). i will be returning due to the skirt being to loose on me in width rather than length. also, the center pleat of the skirt makes it look a bit odd. the skirt hit right at knee height.",this is a really nice quality dress it is a lowcut vneck but the fabric is form fitting so its not revealing when u move i love the top part of the dress but the skirt just did nothing for me its a soft material but the skirt almost resembles a bath towel in look and feel i am petite in size lbs i will be returning due to the skirt being to loose on me in width rather than length also the center pleat of the skirt makes it look a bit odd the skirt hit right at knee height,2,negative
"A lovely, soft material with a subtle aqua pattern. i'm very fussy about seams that fit my waist, and this one fit perfectly.",a lovely soft material with a subtle aqua pattern im very fussy about seams that fit my waist and this one fit perfectly,5,positive
"Ordered these in 31p last year, prob could have worn a 30p, ordered 30p and 31p this year. the past couple of years the pilcro stet jeans in white fit me because they were cut straighter and not as curvy. this year neither size fit. 
this year the cut changed and it has a curvier fit. it's the waist that doesn't work for me. if you're curvier this is probably a good fit change.",ordered these in p last year prob could have worn a p ordered p and p this year the past couple of years the pilcro stet jeans in white fit me because they were cut straighter and not as curvy this year neither size fit this year the cut changed and it has a curvier fit its the waist that doesnt work for me if youre curvier this is probably a good fit change,3,neutral
"But when i saw this top in person, urged by my stylist when they got it in, i decided to try it on. they had xs in store, my former normal size (xs or xsp). that was too big though. not being sure how the petite would look, and not sure if smaller would work, i decided to order all three: xxs, xsp and xxsp!

verdict on size: xxsp was pulling at the arm holes, kind of small there. xxs regular was almost right, but arm holes were a little high, not as comfortable.
xsp ended up being the right c",but when i saw this top in person urged by my stylist when they got it in i decided to try it on they had xs in store my former normal size xs or xsp that was too big though not being sure how the petite would look and not sure if smaller would work i decided to order all three xxs xsp and xxsp verdict on size xxsp was pulling at the arm holes kind of small there xxs regular was almost right but arm holes were a little high not as comfortable xsp ended up being the right c,5,positive
"These are my new favorite pair of jeans. very flattering (particularly on the bum)! the wash is great - dark and slightly distressed, with a frayed hem at the ankle. the leg is straight rather than super skinny, which i am really enjoying as of late. fyi - i am usually a size 29 in denim, but went down to a 28 in this style.",these are my new favorite pair of jeans very flattering particularly on the bum the wash is great dark and slightly distressed with a frayed hem at the ankle the leg is straight rather than super skinny which i am really enjoying as of late fyi i am usually a size in denim but went down to a in this style,5,positive
